year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),Joseph Farnham,,True
1927,1928,1,WRITING (Title Writing),WRITING (Title Writing),George Marion Jr.,,False
1927,1928,1,SPECIAL AWARD,SPECIAL AWARD,Warner Bros.,The Jazz Singer,True
1927,1928,1,SPECIAL AWARD,SPECIAL AWARD,Charles Chaplin,The Circus,True
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,George Bancroft,Thunderbolt,False
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Warner Baxter,In Old Arizona,True
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Chester Morris,Alibi,False
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Paul Muni,The Valiant,False
1928,1929,2,ACTOR,ACTOR IN A LEADING ROLE,Lewis Stone,The Patriot,False
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Ruth Chatterton,Madame X,False
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Betty Compson,The Barker,False
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Jeanne Eagels,The Letter,False
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Corinne Griffith,The Divine Lady,False
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Bessie Love,The Broadway Melody,False
1928,1929,2,ACTRESS,ACTRESS IN A LEADING ROLE,Mary Pickford,Coquette,True
1928,1929,2,ART DIRECTION,ART DIRECTION,Hans Dreier,The Patriot,False
1928,1929,2,ART DIRECTION,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,True
1928,1929,2,ART DIRECTION,ART DIRECTION,Mitchell Leisen,Dynamite,False
1928,1929,2,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Alibi,False
1928,1929,2,ART DIRECTION,ART DIRECTION,William Cameron Menzies,The Awakening,False
1928,1929,2,ART DIRECTION,ART DIRECTION,Harry Oliver,Street Angel,False
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,False
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Palmer,Four Devils,False
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,Ernest Palmer,Street Angel,False
1928,1929,2,CINEMATOGRAPHY,CINEMATOGRAPHY,John Seitz,The Divine Lady,False
1928,1929,2,DIRECTING,DIRECTING,Lionel Barrymore,Madame X,False
1928,1929,2,DIRECTING,DIRECTING,Harry Beaumont,The Broadway Melody,False
1928,1929,2,DIRECTING,DIRECTING,Irving Cummings,In Old Arizona,False
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,The Divine Lady,True
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,Drag,False
1928,1929,2,DIRECTING,DIRECTING,Frank Lloyd,Weary River,False
1928,1929,2,DIRECTING,DIRECTING,Ernst Lubitsch,The Patriot,False
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Feature Productions,Alibi,False
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Fox,In Old Arizona,False
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,True
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False
1928,1929,2,OUTSTANDING PICTURE,BEST PICTURE,Paramount Famous Lasky,The Patriot,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Tom Barry,In Old Arizona,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Tom Barry,The Valiant,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,The Cop,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,The Leatherneck,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,Sal of Singapore,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Elliott Clawson,Skyscraper,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Hans Kraly,The Last of Mrs. Cheyney,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Hans Kraly,The Patriot,True
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Josephine Lovett,Our Dancing Daughters,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Bess Meredyth,A Woman of Affairs,False
1928,1929,2,WRITING,WRITING (Adapted Screenplay),Bess Meredyth,Wonder of Women,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,George Arliss,Disraeli,True
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,George Arliss,The Green Goddess,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Wallace Beery,The Big House,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Big Pond,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Maurice Chevalier,The Love Parade,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Ronald Colman,Bulldog Drummond,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Ronald Colman,Condemned,False
1929,1930,3,ACTOR,ACTOR IN A LEADING ROLE,Lawrence Tibbett,The Rogue Song,False
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Nancy Carroll,The Devil's Holiday,False
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Ruth Chatterton,Sarah and Son,False
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Greta Garbo,Anna Christie,False
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Greta Garbo,Romance,False
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,The Divorcee,True
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,Their Own Desire,False
1929,1930,3,ACTRESS,ACTRESS IN A LEADING ROLE,Gloria Swanson,The Trespasser,False
1929,1930,3,ART DIRECTION,ART DIRECTION,William Cameron Menzies,Bulldog Drummond,False
1929,1930,3,ART DIRECTION,ART DIRECTION,Herman Rosse,King of Jazz,True
1929,1930,3,ART DIRECTION,ART DIRECTION,Hans Dreier,The Love Parade,False
1929,1930,3,ART DIRECTION,ART DIRECTION,Jack Okey,Sally,False
1929,1930,3,ART DIRECTION,ART DIRECTION,Hans Dreier,The Vagabond King,False
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Arthur Edeson,All Quiet on the Western Front,False
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,William Daniels,Anna Christie,False
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Gaetano Gaudio/Harry Perry,Hell's Angels,False
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Victor Milner,The Love Parade,False
1929,1930,3,CINEMATOGRAPHY,CINEMATOGRAPHY,Joseph T. Rucker/Willard Van Der Veer,With Byrd at the South Pole,True
1929,1930,3,DIRECTING,DIRECTING,Clarence Brown,Anna Christie,False
1929,1930,3,DIRECTING,DIRECTING,Clarence Brown,Romance,False
1929,1930,3,DIRECTING,DIRECTING,Robert Leonard,The Divorcee,False
1929,1930,3,DIRECTING,DIRECTING,Ernst Lubitsch,The Love Parade,False
1929,1930,3,DIRECTING,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True
1929,1930,3,DIRECTING,DIRECTING,King Vidor,Hallelujah,False
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Universal,All Quiet on the Western Front,True
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Cosmopolitan,The Big House,False
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,Disraeli,False
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Divorcee,False
1929,1930,3,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Famous Lasky,The Love Parade,False
1929,1930,3,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer/Douglas Shearer,The Big House,True
1929,1930,3,SOUND RECORDING,SOUND RECORDING,RKO Radio/John Tribby,The Case of Sergeant Grischa,False
1929,1930,3,SOUND RECORDING,SOUND RECORDING,Paramount Famous Lasky/Franklin Hansen,The Love Parade,False
1929,1930,3,SOUND RECORDING,SOUND RECORDING,United Artists/Oscar Lagerstrom,Raffles,False
1929,1930,3,SOUND RECORDING,SOUND RECORDING,First National/George Groves,Song of the Flame,False
1929,1930,3,WRITING,WRITING (Adapted Screenplay),George Abbott/Maxwell Anderson/Del Andrews,All Quiet on the Western Front,False
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Frances Marion,The Big House,True
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Julian Josephson,Disraeli,False
1929,1930,3,WRITING,WRITING (Adapted Screenplay),John Meehan,The Divorcee,False
1929,1930,3,WRITING,WRITING (Adapted Screenplay),Howard Estabrook,Street of Chance,False
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Lionel Barrymore,A Free Soul,True
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Jackie Cooper,Skippy,False
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Richard Dix,Cimarron,False
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Fredric March,The Royal Family of Broadway,False
1930,1931,4,ACTOR,ACTOR IN A LEADING ROLE,Adolphe Menjou,The Front Page,False
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Marlene Dietrich,Morocco,False
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Marie Dressler,Min and Bill,True
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Irene Dunne,Cimarron,False
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Ann Harding,Holiday,False
1930,1931,4,ACTRESS,ACTRESS IN A LEADING ROLE,Norma Shearer,A Free Soul,False
1930,1931,4,ART DIRECTION,ART DIRECTION,Max Rée,Cimarron,True
1930,1931,4,ART DIRECTION,ART DIRECTION,Stephen Goosson/Ralph Hammeras,Just Imagine,False
1930,1931,4,ART DIRECTION,ART DIRECTION,Hans Dreier,Morocco,False
1930,1931,4,ART DIRECTION,ART DIRECTION,Anton Grot,Svengali,False
1930,1931,4,ART DIRECTION,ART DIRECTION,Richard Day,Whoopee!,False
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Edward Cronjager,Cimarron,False
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Lee Garmes,Morocco,False
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Lang,The Right to Love,False
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,False
1930,1931,4,CINEMATOGRAPHY,CINEMATOGRAPHY,Floyd Crosby,Tabu,True
1930,1931,4,DIRECTING,DIRECTING,Wesley Ruggles,Cimarron,False
1930,1931,4,DIRECTING,DIRECTING,Clarence Brown,A Free Soul,False
1930,1931,4,DIRECTING,DIRECTING,Lewis Milestone,The Front Page,False
1930,1931,4,DIRECTING,DIRECTING,Josef Von Sternberg,Morocco,False
1930,1931,4,DIRECTING,DIRECTING,Norman Taurog,Skippy,True
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,RKO Radio,Cimarron,True
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,East Lynne,False
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,The Caddo Company,The Front Page,False
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,Skippy,False
1930,1931,4,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Trader Horn,False
1930,1931,4,SOUND RECORDING,SOUND RECORDING,Samuel Goldwyn - United Artists,,False
1930,1931,4,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer,,False
1930,1931,4,SOUND RECORDING,SOUND RECORDING,Paramount Publix,,True
1930,1931,4,SOUND RECORDING,SOUND RECORDING,RKO Radio,,False
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Howard Estabrook,Cimarron,True
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Seton I. Miller/Fred Niblo Jr.,The Criminal Code,False
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Horace Jackson,Holiday,False
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Francis Faragoh/Robert N. Lee,Little Caesar,False
1930,1931,4,WRITING (Adaptation),WRITING (Adapted Screenplay),Joseph L. Mankiewicz/Sam Mintz,Skippy,False
1930,1931,4,WRITING (Original Story),WRITING (Original Story),John Monk Saunders,The Dawn Patrol,True
1930,1931,4,WRITING (Original Story),WRITING (Original Story),Rowland Brown,The Doorway to Hell,False
1930,1931,4,WRITING (Original Story),WRITING (Original Story),Harry d'Abbadie d'Arrast/Douglas Doty/Donald Ogden Stewart,Laughter,False
1930,1931,4,WRITING (Original Story),WRITING (Original Story),John Bright/Kubec Glasmon,The Public Enemy,False
1930,1931,4,WRITING (Original Story),WRITING (Original Story),Lucien Hubbard/Joseph Jackson,Smart Money,False
1931,1932,5,ACTOR,ACTOR IN A LEADING ROLE,Wallace Beery,The Champ,True
1931,1932,5,ACTOR,ACTOR IN A LEADING ROLE,Alfred Lunt,The Guardsman,False
1931,1932,5,ACTOR,ACTOR IN A LEADING ROLE,Fredric March,Dr. Jekyll and Mr. Hyde,True
1931,1932,5,ACTRESS,ACTRESS IN A LEADING ROLE,Marie Dressler,Emma,False
1931,1932,5,ACTRESS,ACTRESS IN A LEADING ROLE,Lynn Fontanne,The Guardsman,False
1931,1932,5,ACTRESS,ACTRESS IN A LEADING ROLE,Helen Hayes,The Sin of Madelon Claudet,True
1931,1932,5,ART DIRECTION,ART DIRECTION,Lazare Meerson,À Nous la Liberté,False
1931,1932,5,ART DIRECTION,ART DIRECTION,Richard Day,Arrowsmith,False
1931,1932,5,ART DIRECTION,ART DIRECTION,Gordon Wiles,Transatlantic,True
1931,1932,5,CINEMATOGRAPHY,CINEMATOGRAPHY,Ray June,Arrowsmith,False
1931,1932,5,CINEMATOGRAPHY,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,False
1931,1932,5,CINEMATOGRAPHY,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,True
1931,1932,5,DIRECTING,DIRECTING,Frank Borzage,Bad Girl,True
1931,1932,5,DIRECTING,DIRECTING,King Vidor,The Champ,False
1931,1932,5,DIRECTING,DIRECTING,Josef Von Sternberg,Shanghai Express,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Samuel Goldwyn Productions,Arrowsmith,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,Bad Girl,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,The Champ,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,First National,Five Star Final,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Grand Hotel,True
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,One Hour with You,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,Shanghai Express,False
1931,1932,5,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount Publix,The Smiling Lieutenant,False
1931,1932,5,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walt Disney,Flowers and Trees,True
1931,1932,5,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Leon Schlesinger,It's Got Me Again,False
1931,1932,5,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walt Disney,Mickey's Orphans,False
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Mack Sennett,The Loud Mouth,False
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Hal Roach,The Music Box,True
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,False
1931,1932,5,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,False
1931,1932,5,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,False
1931,1932,5,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,False
1931,1932,5,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Mack Sennett,Wrestling Swordfish,True
1931,1932,5,SOUND RECORDING,SOUND RECORDING,Metro-Goldwyn-Mayer,,False
1931,1932,5,SOUND RECORDING,SOUND RECORDING,Paramount Publix,,True
1931,1932,5,SOUND RECORDING,SOUND RECORDING,RKO Radio,,False
1931,1932,5,SOUND RECORDING,SOUND RECORDING,Warner Bros./First National,,False
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Sidney Howard,Arrowsmith,False
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Edwin Burke,Bad Girl,True
1931,1932,5,WRITING (Adaptation),WRITING (Adapted Screenplay),Percy Heath/Samuel Hoffenstein,Dr. Jekyll and Mr. Hyde,False
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Frances Marion,The Champ,True
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Grover Jones/William Slavens McNutt,Lady and Gent,False
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Lucien Hubbard,The Star Witness,False
1931,1932,5,WRITING (Original Story),WRITING (Original Story),Adela Rogers St. Johns/Jane Murfin,What Price Hollywood?,False
1931,1932,5,SPECIAL AWARD,SPECIAL AWARD,Walt Disney,,True
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Leslie Howard,Berkeley Square,False
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Charles Laughton,The Private Life of Henry VIII,True
1932,1933,6,ACTOR,ACTOR IN A LEADING ROLE,Paul Muni,I Am a Fugitive from a Chain Gang,False
1932,1933,6,ACTRESS,ACTRESS IN A LEADING ROLE,Katharine Hepburn,Morning Glory,True
1932,1933,6,ACTRESS,ACTRESS IN A LEADING ROLE,May Robson,Lady for a Day,False
1932,1933,6,ACTRESS,ACTRESS IN A LEADING ROLE,Diana Wynyard,Cavalcade,False
1932,1933,6,ART DIRECTION,ART DIRECTION,William S. Darling,Cavalcade,True
1932,1933,6,ART DIRECTION,ART DIRECTION,Hans Dreier/Roland Anderson,A Farewell to Arms,False
1932,1933,6,ART DIRECTION,ART DIRECTION,Cedric Gibbons,When Ladies Meet,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Percy Ikerd,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,William Tummel,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Charles Dorian,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Bunny Dull,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,John S. Waters,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Charles Barton,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Sidney S. Brod,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Arthur Jacobson,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Eddie Killey,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Dewey Starkey,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Fred Fox,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Benjamin Silvey,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Scott Beal,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Joe McDonough,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,W. J. Reiter,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Al Alborn,,False
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Gordon Hollingshead,,True
1932,1933,6,ASSISTANT DIRECTOR,ASSISTANT DIRECTOR,Frank X. Shaw,,False
1932,1933,6,CINEMATOGRAPHY,CINEMATOGRAPHY,Charles Bryant Lang Jr.,A Farewell to Arms,True
1932,1933,6,CINEMATOGRAPHY,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,False
1932,1933,6,CINEMATOGRAPHY,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,False
1932,1933,6,DIRECTING,DIRECTING,Frank Lloyd,Cavalcade,True
1932,1933,6,DIRECTING,DIRECTING,Frank Capra,Lady for a Day,False
1932,1933,6,DIRECTING,DIRECTING,George Cukor,Little Women,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,Cavalcade,True
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount,A Farewell to Arms,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,42nd Street,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Warner Bros.,I Am a Fugitive from a Chain Gang,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Columbia,Lady for a Day,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,RKO Radio,Little Women,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,London Films,The Private Life of Henry VIII,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Paramount,She Done Him Wrong,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Metro-Goldwyn-Mayer,Smilin' Through,False
1932,1933,6,OUTSTANDING PRODUCTION,BEST PICTURE,Fox,State Fair,False
1932,1933,6,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walt Disney,Building a Building,False
1932,1933,6,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walter Lantz,The Merry Old Soul,False
1932,1933,6,SHORT SUBJECT (Cartoon),SHORT FILM (Animated),Walt Disney,The Three Little Pigs,True
1932,1933,6,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Warren Doane,Mister Mugg,False
1932,1933,6,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Louis Brock,A Preferred List,False
1932,1933,6,SHORT SUBJECT (Comedy),SHORT SUBJECT (Comedy),Louis Brock,So This Is Harris,True
1932,1933,6,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Joe Rock,Krakatoa,True
1932,1933,6,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Pete Smith,Menu,False
1932,1933,6,SHORT SUBJECT (Novelty),SHORT SUBJECT (Novelty),Educational,The Sea,False
1932,1933,6,SOUND RECORDING,SOUND RECORDING,Paramount/Franklin B. Hansen,A Farewell to Arms,True
1932,1933,6,SOUND RECORDING,SOUND RECORDING,Warner Bros./Nathan Levinson,42nd Street,False
1932,1933,6,SOUND RECORDING,SOUND RECORDING,Warner Bros./Nathan Levinson,Gold Diggers of 1933,False
1932,1933,6,SOUND RECORDING,SOUND RECORDING,Warner Bros./Nathan Levinson,I Am a Fugitive from a Chain Gang,False
1932,1933,6,WRITING (Adaptation),WRITING (Adapted Screenplay),Robert Riskin,Lady for a Day,False
